date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:21:15	98978/98978	---MCZ	200	added ('OK')	text/html	date:Wed,%2008%20Feb%202017%2011:21:08%20GMT	https://github.com/mozilla/nunjucks/blob/master/src/jinja-compat.js	C:/My%20Websites/nunjucks/github.com/mozilla/nunjucks/blob/master/src/jinja-compat.html	(from https://mozilla.github.io/nunjucks/api.html)
19:21:15	114481/114481	---M-Z	200	added ('OK')	text/html	date:Sat,%2005%20Nov%202016%2010:42:29%20GMT	https://mozilla.github.io/nunjucks/templating	C:/My%20Websites/nunjucks/mozilla.github.io/nunjucks/templating-2.html	(from https://mozilla.github.io/nunjucks/api.html)
19:21:17	435492/435492	---MCZ	200	added ('OK')	text/html	date:Wed,%2008%20Feb%202017%2011:21:10%20GMT	https://github.com/mozilla/nunjucks/blob/master/src/parser.js	C:/My%20Websites/nunjucks/github.com/mozilla/nunjucks/blob/master/src/parser.html	(from https://mozilla.github.io/nunjucks/api.html)
19:21:17	4658/4658	---M-Z	200	added ('OK')	text/html	date:Sat,%2005%20Nov%202016%2010:42:29%20GMT	https://mozilla.github.io/nunjucks/cn/faq.html	C:/My%20Websites/nunjucks/mozilla.github.io/nunjucks/cn/faq.html	(from https://mozilla.github.io/nunjucks/faq.html)
19:21:18	5582/5582	---M-Z	200	added ('OK')	text/html	date:Sat,%2005%20Nov%202016%2010:42:29%20GMT	https://mozilla.github.io/nunjucks/fr/faq.html	C:/My%20Websites/nunjucks/mozilla.github.io/nunjucks/fr/faq.html	(from https://mozilla.github.io/nunjucks/faq.html)
19:21:19	9340/9340	---M-Z	404	error ('Not%20Found')	text/html	etag:W/%225813c5d7-247c%22	https://mozilla.github.io/nunjucks/cn/files/nunjucks.js	C:/My%20Websites/nunjucks/mozilla.github.io/nunjucks/cn/files/nunjucks.js	(from https://mozilla.github.io/nunjucks/cn/getting-started.html)
19:21:19	9340/9340	---M-Z	404	error ('Not%20Found')	text/html	etag:W/%225813c5d7-247c%22	https://mozilla.github.io/nunjucks/cn/files/nunjucks.min.js	C:/My%20Websites/nunjucks/mozilla.github.io/nunjucks/cn/files/nunjucks.min.js	(from https://mozilla.github.io/nunjucks/cn/getting-started.html)
19:21:20	9340/9340	---M-Z	404	error ('Not%20Found')	text/html	etag:W/%225813c5d7-247c%22	https://mozilla.github.io/nunjucks/cn/files/nunjucks-slim.js	C:/My%20Websites/nunjucks/mozilla.github.io/nunjucks/cn/files/nunjucks-slim.js	(from https://mozilla.github.io/nunjucks/cn/getting-started.html)
19:21:20	9340/9340	---M-Z	404	error ('Not%20Found')	text/html	etag:W/%225813c5d7-247c%22	https://mozilla.github.io/nunjucks/cn/files/nunjucks-slim.min.js	C:/My%20Websites/nunjucks/mozilla.github.io/nunjucks/cn/files/nunjucks-slim.min.js	(from https://mozilla.github.io/nunjucks/cn/getting-started.html)
19:21:22	67274/67274	---M-Z	200	added ('OK')	text/html	date:Sat,%2005%20Nov%202016%2010:42:29%20GMT	https://mozilla.github.io/nunjucks/cn/api	C:/My%20Websites/nunjucks/mozilla.github.io/nunjucks/cn/api-2.html	(from https://mozilla.github.io/nunjucks/cn/templating.html)
19:21:24	112266/112266	---M-Z	200	added ('OK')	text/css	date:Mon,%2006%20Feb%202017%2020:36:45%20GMT	https://assets-cdn.github.com/assets/frameworks-a44e0bdd1666101af23963e4027cd7a0a1eea1339e0e7422524f2e7f3900e86b.css	C:/My%20Websites/nunjucks/assets-cdn.github.com/assets/frameworks-a44e0bdd1666101af23963e4027cd7a0a1eea1339e0e7422524f2e7f3900e86b.css	(from https://github.com/mozilla/nunjucks/blob/master/src/filters.js)
